Well Information,Well,Active,Well Coloring,Control,Treatment,Concentration,Additional Information
,A1,TRUE,#00FF00,FALSE,Line 1,,
,A2,TRUE,#00FF00,FALSE,Line 1,,
,A3,TRUE,#00FF00,FALSE,Line 1,,
,A4,TRUE,#00FF00,FALSE,Line 1,,
,A5,TRUE,#00FF00,FALSE,Line 1,,
,A6,TRUE,#00FF00,FALSE,Line 1,,
,B1,TRUE,#00FF00,FALSE,Line 2,,
,B2,TRUE,#00FF00,FALSE,Line 2,,
,B3,TRUE,#00FF00,FALSE,Line 2,,
,B4,TRUE,#00FF00,FALSE,Line 2,,
,B5,TRUE,#00FF00,FALSE,Line 2,,
,B6,TRUE,#00FF00,FALSE,Line 2,,
,C1,TRUE,#00FF00,FALSE,Line 3,,
,C2,TRUE,#00FF00,FALSE,Line 3,,
,C3,TRUE,#00FF00,FALSE,Line 3,,
,C4,TRUE,#00FF00,FALSE,Line 3,,
,C5,TRUE,#00FF00,FALSE,Line 3,,
,C6,TRUE,#00FF00,FALSE,Line 3,,
,D1,TRUE,#00FF00,FALSE,Line 4,,
,D2,TRUE,#00FF00,FALSE,Line 4,,
,D3,TRUE,#00FF00,FALSE,Line 4,,
,D4,TRUE,#00FF00,FALSE,Line 4,,
,D5,TRUE,#00FF00,FALSE,Line 4,,
,D6,TRUE,#00FF00,FALSE,Line 4,,
